Source : 1737.dsp
Spectrum : 1

Wavelength	n	k

2479.68	1.506539	0.000000
2254.26	1.506875	0.000000
2066.40	1.507215	0.000000
1907.45	1.507560	0.000000
1771.20	1.507908	0.000000
1653.12	1.508262	0.000000
1549.80	1.508619	0.000000
1458.64	1.508982	0.000000
1377.60	1.509349	0.000000
1305.10	1.509720	0.000000
1239.84	1.510097	0.000000
1180.80	1.510479	0.000000
1127.13	1.510866	0.000000
1078.12	1.511258	0.000000
1033.20	1.511655	0.000000
991.87	1.512057	0.000000
953.72	1.512466	0.000000
918.40	1.512879	0.000000
885.60	1.513299	0.000000
855.06	1.513724	0.000000
826.56	1.514156	0.000000
799.90	1.514594	0.000000
774.90	1.515037	0.000000
751.42	1.515488	0.000000
729.32	1.515944	0.000000
708.48	1.516408	0.000000
688.80	1.516878	0.000000
670.18	1.517355	0.000000
652.55	1.517839	0.000000
635.82	1.518331	0.000000
619.92	1.518830	0.000000
604.80	1.519337	0.000000
590.40	1.519851	0.000000
576.67	1.520374	0.000000
563.56	1.520904	0.000000
551.04	1.521443	0.000000
539.06	1.521991	0.000000
527.59	1.522547	0.000000
516.60	1.523113	0.000000
506.06	1.523687	0.000000
495.94	1.524271	0.000000
486.21	1.524865	0.000000
476.86	1.525468	0.000000
467.86	1.526082	0.000000
459.20	1.526706	0.000000
450.85	1.527340	0.000000
442.80	1.527986	0.000000
435.03	1.528643	0.000000
427.53	1.529311	0.000000
420.29	1.529992	0.000000
413.28	1.530684	0.000000
406.51	1.531389	0.000000
399.95	1.532107	0.000000
393.60	1.532838	0.000000
387.45	1.533582	0.000000
381.49	1.534340	0.000000
375.71	1.535113	0.000000
370.10	1.535901	0.000001
364.66	1.536703	0.000001
359.37	1.537521	0.000002
354.24	1.538355	0.000003
349.25	1.539206	0.000003
344.40	1.540074	0.000004
339.68	1.540959	0.000006
335.09	1.541863	0.000007
330.62	1.542785	0.000008
326.27	1.543726	0.000010
322.04	1.544687	0.000012
317.91	1.545669	0.000014
313.88	1.546671	0.000016
309.96	1.547696	0.000019
306.13	1.548743	0.000022
302.40	1.549813	0.000025
298.76	1.550907	0.000028
295.20	1.552027	0.000032
291.73	1.553172	0.000035
288.34	1.554343	0.000040
285.02	1.555542	0.000044
281.78	1.556770	0.000049
278.62	1.558028	0.000055
275.52	1.559316	0.000060
272.49	1.560636	0.000066
269.53	1.561989	0.000073
266.63	1.563376	0.000080
263.80	1.564799	0.000088
261.02	1.566259	0.000096
258.30	1.567757	0.000105
255.64	1.569295	0.000115
253.03	1.570875	0.000125
250.47	1.572498	0.000136
247.97	1.574166	0.000148
245.51	1.575882	0.000160
243.11	1.577646	0.000173
240.75	1.579462	0.000188
238.43	1.581331	0.000203
236.16	1.583255	0.000220
233.93	1.585239	0.000237
231.75	1.587283	0.000256
229.60	1.589391	0.000277
227.49	1.591566	0.000298
225.43	1.593812	0.000322
223.39	1.596131	0.000347
221.40	1.598527	0.000374
219.44	1.601005	0.000402
217.52	1.603569	0.000433
215.62	1.606222	0.000467
213.77	1.608970	0.000502
211.94	1.611818	0.000541
210.14	1.614772	0.000582
208.38	1.617838	0.000626
206.64	1.621021	0.000674

