Source : MgF2_lz.dsp
Spectrum : 1

Wavelength	n	k

826.56	1.380695	0.000000
815.69	1.380767	0.000000
805.09	1.380840	0.000000
794.77	1.380914	0.000000
784.71	1.380988	0.000000
774.90	1.381064	0.000000
765.33	1.381141	0.000000
756.00	1.381218	0.000000
746.89	1.381297	0.000000
738.00	1.381376	0.000000
729.32	1.381457	0.000000
720.84	1.381539	0.000000
712.55	1.381621	0.000000
704.46	1.381705	0.000000
696.54	1.381789	0.000000
688.80	1.381875	0.000000
681.23	1.381962	0.000000
673.83	1.382049	0.000000
666.58	1.382138	0.000000
659.49	1.382227	0.000000
652.55	1.382318	0.000000
645.75	1.382409	0.000000
639.09	1.382502	0.000000
632.57	1.382595	0.000000
626.18	1.382690	0.000000
619.92	1.382786	0.000000
613.78	1.382882	0.000000
607.77	1.382980	0.000000
601.86	1.383078	0.000000
596.08	1.383178	0.000000
590.40	1.383279	0.000000
584.83	1.383380	0.000000
579.37	1.383483	0.000000
574.00	1.383587	0.000000
568.73	1.383691	0.000000
563.56	1.383797	0.000000
558.49	1.383904	0.000000
553.50	1.384012	0.000000
548.60	1.384121	0.000000
543.79	1.384230	0.000000
539.06	1.384341	0.000000
534.41	1.384453	0.000000
529.85	1.384566	0.000000
525.36	1.384680	0.000000
520.94	1.384795	0.000000
516.60	1.384911	0.000000
512.33	1.385029	0.000000
508.13	1.385147	0.000000
504.00	1.385266	0.000000
499.94	1.385386	0.000000
495.94	1.385508	0.000000
492.00	1.385630	0.000000
488.13	1.385753	0.000000
484.31	1.385878	0.000000
480.56	1.386004	0.000000
476.86	1.386130	0.000000
473.22	1.386258	0.000000
469.64	1.386387	0.000000
466.11	1.386516	0.000000
462.63	1.386647	0.000000
459.20	1.386779	0.000000
455.82	1.386912	0.000000
452.50	1.387046	0.000000
449.22	1.387182	0.000000
445.99	1.387318	0.000000
442.80	1.387455	0.000000
439.66	1.387594	0.000000
436.56	1.387733	0.000000
433.51	1.387874	0.000000
430.50	1.388016	0.000000
427.53	1.388158	0.000000
424.60	1.388302	0.000000
421.71	1.388447	0.000000
418.87	1.388593	0.000000
416.05	1.388741	0.000000
413.28	1.388889	0.000000
410.54	1.389038	0.000000
407.84	1.389189	0.000000
405.18	1.389340	0.000000
402.55	1.389493	0.000000
399.95	1.389647	0.000000
397.39	1.389802	0.000000
394.85	1.389958	0.000000
392.36	1.390116	0.000000
389.89	1.390274	0.000000
387.45	1.390433	0.000000
385.04	1.390594	0.000000
382.67	1.390756	0.000000
380.32	1.390919	0.000000
378.00	1.391083	0.000000
375.71	1.391248	0.000000
373.45	1.391414	0.000000
371.21	1.391582	0.000000
369.00	1.391751	0.000000
366.82	1.391921	0.000000
364.66	1.392091	0.000000
362.53	1.392264	0.000000
360.42	1.392437	0.000000
358.34	1.392611	0.000000
356.28	1.392787	0.000000
354.24	1.392964	0.000000
352.23	1.393142	0.000000
350.24	1.393321	0.000000
348.27	1.393502	0.000000
346.32	1.393683	0.000000
344.40	1.393866	0.000000
342.50	1.394050	0.000000
340.62	1.394235	0.000000
338.75	1.394421	0.000000
336.91	1.394609	0.000000
335.09	1.394798	0.000000
333.29	1.394988	0.000000
331.51	1.395179	0.000000
329.75	1.395371	0.000000
328.00	1.395565	0.000000
326.27	1.395760	0.000000
324.57	1.395956	0.000000
322.88	1.396153	0.000000
321.20	1.396351	0.000000
319.55	1.396551	0.000000
317.91	1.396752	0.000000
316.29	1.396954	0.000000
314.68	1.397158	0.000000
313.09	1.397363	0.000000
311.52	1.397569	0.000000
309.96	1.397776	0.000000
308.42	1.397984	0.000000
306.89	1.398194	0.000000
305.38	1.398405	0.000000
303.88	1.398618	0.000000
302.40	1.398831	0.000000
300.93	1.399046	0.000000
299.48	1.399262	0.000000
298.04	1.399480	0.000000
296.61	1.399698	0.000000
295.20	1.399918	0.000000
293.80	1.400140	0.000000
292.42	1.400362	0.000000
291.04	1.400586	0.000000
289.68	1.400812	0.000000
288.34	1.401038	0.000000
287.00	1.401266	0.000000
285.68	1.401495	0.000000
284.37	1.401726	0.000000
283.07	1.401958	0.000000
281.78	1.402191	0.000000
280.51	1.402426	0.000000
279.24	1.402662	0.000000
277.99	1.402899	0.000000
276.75	1.403137	0.000000
275.52	1.403377	0.000000
274.30	1.403619	0.000000
273.09	1.403862	0.000000
271.90	1.404106	0.000000
270.71	1.404351	0.000000
269.53	1.404598	0.000000
268.36	1.404846	0.000000
267.21	1.405096	0.000000
266.06	1.405347	0.000000
264.92	1.405599	0.000000
263.80	1.405853	0.000000
262.68	1.406108	0.000000
261.57	1.406365	0.000000

