Source : WO3_na.dsp
Spectrum : 1

Wavelength	n	k

826.56	1.970736	0.000000
815.69	1.971692	0.000000
805.09	1.972660	0.000000
794.77	1.973639	0.000000
784.71	1.974631	0.000000
774.90	1.975636	0.000000
765.33	1.976654	0.000000
756.00	1.977684	0.000000
746.89	1.978728	0.000000
738.00	1.979786	0.000000
729.32	1.980857	0.000000
720.84	1.981942	0.000000
712.55	1.983042	0.000000
704.46	1.984157	0.000000
696.54	1.985286	0.000000
688.80	1.986431	0.000000
681.23	1.987591	0.000000
673.83	1.988768	0.000000
666.58	1.989960	0.000000
659.49	1.991169	0.000000
652.55	1.992395	0.000000
645.75	1.993638	0.000000
639.09	1.994899	0.000000
632.57	1.996178	0.000000
626.18	1.997475	0.000000
619.92	1.998791	0.000000
613.78	2.000126	0.000000
607.77	2.001481	0.000000
601.86	2.002855	0.000000
596.08	2.004251	0.000000
590.40	2.005667	0.000000
584.83	2.007104	0.000000
579.37	2.008563	0.000000
574.00	2.010045	0.000000
568.73	2.011549	0.000000
563.56	2.013077	0.000000
558.49	2.014629	0.000002
553.50	2.016205	0.000007
548.60	2.017806	0.000015
543.79	2.019433	0.000027
539.06	2.021086	0.000042
534.41	2.022766	0.000062
529.85	2.024473	0.000085
525.36	2.026209	0.000113
520.94	2.027974	0.000145
516.60	2.029768	0.000182
512.33	2.031592	0.000224
508.13	2.033448	0.000270
504.00	2.035335	0.000323
499.94	2.037255	0.000381
495.94	2.039209	0.000444
492.00	2.041197	0.000514
488.13	2.043220	0.000591
484.31	2.045280	0.000674
480.56	2.047376	0.000765
476.86	2.049511	0.000863
473.22	2.051685	0.000969
469.64	2.053899	0.001083
466.11	2.056155	0.001206
462.63	2.058453	0.001337
459.20	2.060795	0.001479
455.82	2.063181	0.001631
452.50	2.065614	0.001793
449.22	2.068094	0.001966
445.99	2.070623	0.002151
442.80	2.073203	0.002348
439.66	2.075834	0.002558
436.56	2.078518	0.002782
433.51	2.081257	0.003019
430.50	2.084053	0.003272
427.53	2.086906	0.003541
424.60	2.089820	0.003827
421.71	2.092795	0.004130
418.87	2.095834	0.004451
416.05	2.098939	0.004792
413.28	2.102112	0.005154
410.54	2.105354	0.005537
407.84	2.108669	0.005943
405.18	2.112058	0.006373
402.55	2.115524	0.006829
399.95	2.119070	0.007312
397.39	2.122698	0.007823
394.85	2.126411	0.008365
392.36	2.130211	0.008938
389.89	2.134102	0.009545
387.45	2.138087	0.010188
385.04	2.142170	0.010869
382.67	2.146352	0.011589
380.32	2.150639	0.012353
378.00	2.155034	0.013161
375.71	2.159541	0.014017
373.45	2.164163	0.014924
371.21	2.168905	0.015885
369.00	2.173772	0.016904
366.82	2.178768	0.017984
364.66	2.183898	0.019128
362.53	2.189167	0.020342
360.42	2.194581	0.021630
358.34	2.200144	0.022996
356.28	2.205863	0.024446
354.24	2.211744	0.025986
352.23	2.217792	0.027622
350.24	2.224016	0.029359
348.27	2.230421	0.031207
346.32	2.237016	0.033172
344.40	2.243807	0.035262
342.50	2.250802	0.037487
340.62	2.258011	0.039857
338.75	2.265440	0.042382
336.91	2.273101	0.045074
335.09	2.281001	0.047945
333.29	2.289151	0.051010
331.51	2.297560	0.054283
329.75	2.306241	0.057780
328.00	2.315202	0.061521
326.27	2.324456	0.065523
324.57	2.334015	0.069808
322.88	2.343889	0.074400
321.20	2.354092	0.079325
319.55	2.364636	0.084610
317.91	2.375533	0.090285
316.29	2.386795	0.096386
314.68	2.398436	0.102949
313.09	2.410468	0.110015
311.52	2.422901	0.117630
309.96	2.435747	0.125842
308.42	2.449016	0.134706
306.89	2.462716	0.144283
305.38	2.476853	0.154640
303.88	2.491431	0.165849
302.40	2.506451	0.177991
300.93	2.521908	0.191156
299.48	2.537792	0.205442
298.04	2.554088	0.220956
296.61	2.570770	0.237816
295.20	2.587803	0.256154
293.80	2.605139	0.276109
292.42	2.622712	0.297837
291.04	2.640439	0.321504
289.68	2.658212	0.347288
288.34	2.675894	0.375381
287.00	2.693315	0.405984
285.68	2.710263	0.439303
284.37	2.726479	0.475550
283.07	2.741650	0.514932
281.78	2.755396	0.557646
280.51	2.767268	0.603861
279.24	2.776740	0.653709
277.99	2.783200	0.707262
276.75	2.785953	0.764507
275.52	2.784228	0.825316
274.30	2.777184	0.889414
273.09	2.763942	0.956346
271.90	2.743619	1.025438
270.71	2.715384	1.095778
269.53	2.678525	1.166199
268.36	2.632532	1.235287
267.21	2.577180	1.301422
266.06	2.512616	1.362841
264.92	2.439411	1.417750
263.80	2.358588	1.464446
262.68	2.271601	1.501460
261.57	2.180258	1.527688
260.47	2.086601	1.542488
259.38	1.992758	1.545735
258.30	1.900783	1.537811
257.23	1.812519	1.519550
256.17	1.729489	1.492132
255.11	1.652837	1.456968
254.07	1.583313	1.415571
253.03	1.521295	1.369452
252.00	1.466844	1.320031
250.98	1.419762	1.268579
249.97	1.379666	1.216189
248.96	1.346043	1.163765
247.97	1.318312	1.112025
246.98	1.295863	1.061519
246.00	1.278088	1.012652
245.03	1.264404	0.965701
244.06	1.254270	0.920845
243.11	1.247189	0.878179
242.16	1.242716	0.837739
241.21	1.240455	0.799513
240.28	1.240059	0.763453
239.35	1.241226	0.729488
238.43	1.243693	0.697532
237.52	1.247235	0.667487
236.61	1.251659	0.639251
235.71	1.256800	0.612719
234.82	1.262517	0.587788
233.93	1.268690	0.564356
233.05	1.275220	0.542327
232.18	1.282021	0.521606
231.31	1.289021	0.502106
230.45	1.296160	0.483743
229.60	1.303387	0.466440
228.75	1.310661	0.450124
227.91	1.317945	0.434728
227.08	1.325212	0.420187
226.25	1.332437	0.406445
225.43	1.339599	0.393447
224.61	1.346685	0.381142
223.80	1.353679	0.369484
222.99	1.360573	0.358431
222.19	1.367357	0.347942
221.40	1.374026	0.337981
220.61	1.380575	0.328514
219.83	1.387001	0.319508
219.05	1.393302	0.310936
218.28	1.399475	0.302770
217.52	1.405521	0.294985
216.76	1.411439	0.287558
216.00	1.417231	0.280467
215.25	1.422898	0.273692
214.51	1.428440	0.267215
213.77	1.433859	0.261019
213.03	1.439158	0.255086
212.30	1.444339	0.249403
211.58	1.449404	0.243955
210.86	1.454355	0.238730
210.14	1.459194	0.233715
209.43	1.463925	0.228899
208.73	1.468550	0.224271
208.03	1.473071	0.219822
207.33	1.477491	0.215542
206.64	1.481813	0.211422

